Dates,Africa,Asia,Europe,North America,Oceania,South America,Grand Total
Jan-20,0,9333,17,11,9,0,9370
Feb-20,3,73839,1485,50,17,4,75398
Mar-20,5764,96833,454715,207358,5238,14507,784415
Apr-20,32993,342990,931818,964294,3085,165773,2440953
May-20,108124,618468,604273,849767,465,725850,2906947
Jun-20,258340,1166691,454411,1080488,749,1355875,4316554
Jul-20,523189,1991775,461946,2260772,9465,1870752,7117899
Aug-20,324253,2818014,767154,1826797,9645,2198437,7944300
Sep-20,229702,3555356,1448358,1497490,2735,1770572,8504213
Oct-20,303545,3046598,4862558,2296643,6089,1596084,12111517
Nov-20,388843,3077099,7425095,4924143,7624,1469423,17292227
Dec-20,586170,3101894,6516455,7272866,3307,2062868,19543560
Jan-21,809148,2398667,6663681,7001383,1759,2682420,19557058
Feb-21,327680,1909888,4069361,2858471,1006,2093284,11259690
Mar-21,319961,3484925,5631860,2221413,5889,3189288,14853336
Apr-21,340423,11017797,5046506,2405038,5845,3730133,22545742
May-21,282686,11741131,2395638,1371220,5722,3904908,19701305
Jun-21,664182,4556963,1373238,781098,5900,4095661,11477042
Jul-21,1204828,6250643,3547440,2086391,30899,2617939,15738140
Aug-21,1081053,8096119,3868693,5403788,58596,1380622,19888871
Sep-21,520504,5794363,3722855,5073372,66795,759740,15937629
Oct-21,193779,3695766,5548291,2975888,86682,602083,13102489
Nov-21,164029,2799526,9244275,2817541,51842,567585,15644798
Dec-21,1069150,2528915,14086684,6870379,219489,825025,25599642
Jan-22,1130918,15854431,38498070,22878236,2207298,8806984,89375937
Feb-22,446100,16504393,29576481,5148523,827862,5622010,58125369
Mar-22,225752,22838210,23041488,1543518,1923951,1851419,51424338
Apr-22,25733,3521519,4313764,412255,542579,238902,9054752
